frame,timestamp,car_id,car_center,x1,y1,x2,y2,movement,fps
109,1764848899.57,1,"(145, 879)",13,818,277,941,0.68,2.89
109,1764848899.57,3,"(214, 729)",102,679,326,780,0.88,2.89
109,1764848899.57,6,"(273, 619)",171,571,375,668,1.96,2.88
110,1764848899.96,1,"(147, 879)",14,817,280,941,1.08,2.88
110,1764848899.96,3,"(212, 731)",103,682,322,781,1.45,2.86
110,1764848899.96,6,"(275, 620)",170,570,381,671,2.41,2.84
111,1764848900.33,1,"(150, 878)",17,816,284,941,1.52,2.84
111,1764848900.34,3,"(212, 734)",103,685,321,784,1.85,2.84
111,1764848900.34,6,"(278, 620)",171,569,386,671,2.56,2.84
112,1764848900.72,1,"(155, 877)",21,814,290,940,2.34,2.83
112,1764848900.72,3,"(212, 736)",104,687,320,786,2.05,2.83
112,1764848900.72,6,"(282, 619)",175,568,389,670,3.1,2.82
113,1764848901.11,1,"(163, 877)",29,814,298,940,3.94,2.82
113,1764848901.11,3,"(213, 737)",105,687,321,787,2.05,2.83
113,1764848901.11,6,"(288, 618)",181,567,395,669,3.69,2.83
114,1764848901.53,1,"(171, 877)",37,814,305,940,5.25,2.81
114,1764848901.53,3,"(215, 736)",108,686,322,787,2.3,2.77
114,1764848901.53,6,"(295, 617)",188,566,402,668,4.5,2.74
115,1764848901.92,1,"(182, 878)",51,817,313,940,7.06,2.73
115,1764848901.92,3,"(223, 736)",118,687,328,786,3.33,2.72
115,1764848901.92,6,"(303, 616)",197,566,410,667,5.67,2.71
116,1764848902.31,1,"(194, 880)",67,821,322,940,8.86,2.71
116,1764848902.31,3,"(230, 736)",127,687,333,786,4.13,2.71
116,1764848902.31,6,"(314, 615)",208,565,420,666,7.28,2.71
117,1764848902.69,1,"(208, 881)",82,823,334,940,10.65,2.71
117,1764848902.69,3,"(234, 735)",132,686,336,785,4.55,2.73
117,1764848902.69,6,"(324, 614)",219,564,429,664,8.46,2.75
118,1764848903.07,1,"(223, 880)",93,820,353,940,12.06,2.77
118,1764848903.07,3,"(237, 735)",135,686,339,785,4.87,2.78
118,1764848903.07,6,"(334, 612)",228,562,441,663,9.29,2.79
119,1764848903.45,1,"(240, 880)",108,819,372,942,13.86,2.8
119,1764848903.45,3,"(244, 734)",142,685,346,784,5.84,2.8
119,1764848903.45,6,"(345, 612)",239,562,451,663,10.07,2.81
120,1764848903.88,1,"(256, 880)",123,818,390,943,14.85,2.81
120,1764848903.88,3,"(250, 734)",147,684,354,784,5.44,2.81
120,1764848903.88,6,"(357, 611)",252,561,462,661,10.87,2.81
121,1764848904.25,1,"(274, 881)",140,819,408,944,16.02,2.81
121,1764848904.25,3,"(259, 734)",154,684,364,785,5.84,2.81
121,1764848904.25,6,"(370, 610)",265,560,475,660,11.27,2.81
122,1764848904.64,1,"(294, 882)",160,819,429,945,17.22,2.81
122,1764848904.64,3,"(271, 734)",165,683,377,785,7.41,2.81
122,1764848904.64,6,"(383, 609)",279,560,487,659,11.86,2.8
123,1764848905.04,1,"(314, 883)",180,821,448,946,18.22,2.8
123,1764848905.04,3,"(282, 735)",172,682,393,789,9.02,2.8
123,1764848905.04,6,"(395, 607)",291,558,500,657,12.26,2.79
124,1764848905.42,1,"(336, 884)",203,821,470,947,19.22,2.79
124,1764848905.43,3,"(297, 736)",186,682,409,790,10.62,2.79
